# SIMULATED DATA — synthetically generated for demo purposes only. Not real market data. Do not use for real trading decisions.
# symbol: BRCK
# name: Brickline Materials
date,open,high,low,close,volume
2020-01-02,74.64,74.99,73.79,73.95,577100
2020-01-03,73.95,76.13,73.44,75.44,1616259
2020-01-06,75.44,75.88,75.33,75.71,1462024
2020-01-07,75.71,76.54,73.19,73.84,285949
2020-01-08,73.84,74.63,73.83,74.4,379495
2020-01-09,74.4,74.86,72.35,72.96,659552
2020-01-10,72.96,74.35,72.79,73.98,1748555
2020-01-13,73.98,74.6,73.66,74.48,1435362
2020-01-14,74.48,74.91,74.43,74.8,1185363
2020-01-15,74.8,74.98,74.1,74.31,1563248
2020-01-16,74.31,74.45,74.15,74.44,358749
2020-01-17,74.44,74.97,74.3,74.82,1239484
2020-01-20,74.82,76.22,74.33,75.78,1275430
2020-01-21,75.78,77.45,75.53,77.06,1093007
2020-01-22,77.06,77.72,76.78,77.58,460421
2020-01-23,77.58,78.43,77.37,78.08,1983728
2020-01-24,78.08,80.15,77.84,79.52,1129324
2020-01-27,79.52,80.35,79.23,80.24,897760
2020-01-28,80.24,81.09,77.67,77.96,1571654
2020-01-29,77.96,79.74,77.27,79.38,504777
2020-01-30,79.38,79.75,77.67,78.2,1414539
2020-01-31,78.2,79.47,77.67,79.28,931196
2020-02-03,79.28,80.32,79.17,80.21,645785
2020-02-04,80.21,81.42,80.04,81.33,1022012
2020-02-05,81.33,82.8,80.98,82.42,1571121
2020-02-06,82.42,83.57,81.9,83.55,1348131
2020-02-07,83.55,84.05,81.78,82.07,1132382
2020-02-10,82.07,83.82,81.29,83.63,751500
2020-02-11,83.63,83.83,83.54,83.58,867530
2020-02-12,83.58,84.34,83.33,84.16,1866668
2020-02-13,84.16,84.35,83.75,83.82,1857557
2020-02-14,83.82,83.97,83.66,83.75,1993103
2020-02-17,83.75,85.27,83.14,84.95,1807332
2020-02-18,84.95,86.8,84.47,86.31,1134822
2020-02-19,86.31,86.82,83.74,84.45,229234
2020-02-20,84.45,85.24,82.65,83.21,547974
2020-02-21,83.21,84.98,82.94,84.65,1901256
2020-02-24,84.65,85.55,84.54,85.24,1159482
2020-02-25,85.24,86.65,84.71,86.37,768392
2020-02-26,86.37,86.56,86.2,86.53,518112
2020-02-27,86.53,89.66,85.42,89.13,911700
2020-02-28,89.13,89.57,88.04,88.31,626628
2020-03-02,88.31,88.35,87.86,87.87,1128551
2020-03-03,87.87,87.98,86.66,86.79,862050
2020-03-04,86.79,88.57,86.66,87.88,1098175
2020-03-05,87.88,88.17,85.36,86.04,1697401
2020-03-06,86.04,86.07,85.93,86.03,1315313
2020-03-09,86.03,87.07,83.31,83.89,867519
2020-03-10,83.89,85.34,83.87,85.01,334356
2020-03-11,85.01,86.39,84.5,85.91,728197
2020-03-12,85.91,86.3,85.25,85.44,466645
2020-03-13,85.44,86.05,84.19,84.57,1554157
2020-03-16,84.57,84.71,83.45,83.47,715268
2020-03-17,83.47,83.67,83.43,83.61,1525247
2020-03-18,83.61,83.99,82.66,82.78,1209011
2020-03-19,82.78,82.8,81.37,81.48,1580199
2020-03-20,81.48,81.56,79.8,80.37,986000
2020-03-23,80.37,82.25,79.85,81.62,1431802
2020-03-24,81.62,82.25,81.36,82.08,1797770
2020-03-25,82.08,82.51,81.02,81.43,1040823
2020-03-26,81.43,81.76,81.31,81.74,1373720
2020-03-27,81.74,81.82,80.68,81.07,699770
2020-03-30,81.07,83.83,79.55,83.7,1058372
2020-03-31,83.7,83.73,83.3,83.51,327032
2020-04-01,83.51,83.56,83.49,83.53,680890
2020-04-02,83.53,85.02,83.1,84.67,1915830
2020-04-03,84.67,87.43,84.39,87.21,812197
2020-04-06,87.21,87.37,87.2,87.36,1160474
2020-04-07,87.36,87.61,86.93,86.99,1272889
2020-04-08,86.99,87.37,85.57,85.85,1803980
2020-04-09,85.85,88.08,85.43,87.96,692394
2020-04-10,87.96,88.06,84.94,85.94,1860317
2020-04-13,85.94,86.56,84.62,84.77,1335286
2020-04-14,84.77,85.92,84.43,85.74,1165296
2020-04-15,85.74,85.8,85.3,85.45,510025
2020-04-16,85.45,85.98,85.16,85.75,988947
2020-04-17,85.75,85.78,84.87,85.06,1776633
2020-04-20,85.06,86.89,84.95,86.48,743558
2020-04-21,86.48,86.91,86.35,86.76,288583
2020-04-22,86.76,88.05,86.09,88.0,203953
2020-04-23,88.0,88.49,87.93,88.38,337078
2020-04-24,88.38,88.44,87.92,88.08,1130051
2020-04-27,88.08,88.22,87.9,87.96,1631482
2020-04-28,87.96,89.84,87.52,89.14,1608469
2020-04-29,89.14,90.12,89.03,90.02,1788432
2020-04-30,90.02,93.29,89.11,92.38,1112478
2020-05-01,92.38,92.81,92.27,92.68,1740765
2020-05-04,92.68,92.93,92.52,92.73,1389861
2020-05-05,92.73,92.85,92.52,92.57,798980
2020-05-06,92.57,92.78,90.31,91.04,618026
2020-05-07,91.04,91.78,90.76,91.71,657000
2020-05-08,91.71,92.2,91.61,92.11,206917
2020-05-11,92.11,92.49,87.26,87.91,444697
2020-05-12,87.91,88.88,85.48,85.82,1022401
2020-05-13,85.82,87.96,85.33,87.13,599445
2020-05-14,87.13,87.57,86.27,86.62,496310
2020-05-15,86.62,86.78,85.17,85.68,1730903
2020-05-18,85.68,85.85,85.41,85.61,1211834
2020-05-19,85.61,85.71,83.74,84.4,1550377
2020-05-20,84.4,85.2,84.33,85.14,635502
2020-05-21,85.14,85.39,83.88,84.08,1222445
2020-05-22,84.08,85.92,83.19,85.71,1369135
2020-05-25,85.71,86.01,85.46,86.0,245273
2020-05-26,86.0,86.24,85.14,85.52,277287
2020-05-27,85.52,85.93,85.51,85.91,401916
2020-05-28,85.91,86.49,85.73,86.36,403933
2020-05-29,86.36,86.69,84.81,85.26,1906599
2020-06-01,85.26,85.7,85.22,85.52,274138
2020-06-02,85.52,86.16,85.14,85.92,1453479
2020-06-03,85.92,86.45,85.71,86.39,470042
2020-06-04,86.39,87.44,86.23,87.15,425353
2020-06-05,87.15,87.48,84.2,85.08,1152541
2020-06-08,85.08,86.89,84.82,86.65,711700
2020-06-09,86.65,87.47,86.37,87.42,1158220
2020-06-10,87.42,89.35,87.27,88.62,511258
2020-06-11,88.62,89.26,88.48,89.03,1308060
2020-06-12,89.03,89.68,87.16,87.2,1325063
2020-06-15,87.2,87.38,86.77,86.85,1590512
2020-06-16,86.85,87.61,84.76,85.5,374676
2020-06-17,85.5,85.64,83.58,84.35,967613
2020-06-18,84.35,86.9,84.33,86.29,855640
2020-06-19,86.29,86.38,85.95,85.96,1650712
2020-06-22,85.96,86.5,85.71,86.36,1501345
2020-06-23,86.36,86.6,85.74,85.83,1329367
2020-06-24,85.83,86.85,85.43,86.83,1019655
2020-06-25,86.83,87.05,86.58,86.73,1644120
2020-06-26,86.73,86.92,84.22,85.08,1996581
2020-06-29,85.08,87.01,84.82,86.87,1199536
2020-06-30,86.87,87.1,86.47,86.55,1580366
2020-07-01,86.55,89.26,86.24,88.57,352648
2020-07-02,88.57,90.92,87.89,90.27,1193830
2020-07-03,90.27,90.74,87.1,87.74,817578
2020-07-06,87.74,87.99,86.08,86.19,1599537
2020-07-07,86.19,86.25,85.56,85.73,329410
2020-07-08,85.73,85.74,85.56,85.71,921310
2020-07-09,85.71,89.98,84.14,88.41,1495113
2020-07-10,88.41,90.73,87.56,90.49,1773769
2020-07-13,90.49,90.53,90.41,90.51,1035533
2020-07-14,90.51,91.16,90.34,90.85,1238242
2020-07-15,90.85,91.0,89.61,89.76,982413
2020-07-16,89.76,89.83,87.76,88.39,299021
2020-07-17,88.39,88.45,88.11,88.23,879464
2020-07-20,88.23,88.24,86.72,87.25,1385250
2020-07-21,87.25,88.01,86.93,87.92,1737996
2020-07-22,87.92,87.92,87.8,87.84,1185469
2020-07-23,87.84,88.39,86.54,86.84,1165496
2020-07-24,86.84,86.99,84.38,85.28,523654
2020-07-27,85.28,85.97,85.21,85.87,1909898
2020-07-28,85.87,88.14,85.11,87.25,943857
2020-07-29,87.25,87.74,87.19,87.56,303671
2020-07-30,87.56,90.39,87.36,89.62,1354223
2020-07-31,89.62,90.68,89.41,90.47,433584
2020-08-03,90.47,90.5,88.86,89.33,1781593
2020-08-04,89.33,89.71,89.16,89.71,1568486
2020-08-05,89.71,90.9,89.64,90.72,1292842
2020-08-06,90.72,91.32,87.68,88.5,1495634
2020-08-07,88.5,91.7,88.49,90.84,1219586
