# SIMULATED DATA — synthetically generated for demo purposes only. Not real market data. Do not use for real trading decisions.
# symbol: DRFT
# name: Driftwell Logistics
date,open,high,low,close,volume
2020-01-02,183.3,183.37,182.17,182.5,1354718
2020-01-03,182.5,186.38,180.84,185.95,943263
2020-01-06,185.95,187.5,185.65,186.99,510410
2020-01-07,186.99,190.14,185.83,189.23,671422
2020-01-08,189.23,189.9,186.44,187.21,935714
2020-01-09,187.21,187.68,186.88,187.46,1734036
2020-01-10,187.46,187.67,185.31,186.14,1745590
2020-01-13,186.14,186.55,185.81,185.81,944499
2020-01-14,185.81,189.48,184.84,188.71,312043
2020-01-15,188.71,189.06,186.46,187.48,1522234
2020-01-16,187.48,190.62,186.81,189.95,1993496
2020-01-17,189.95,190.28,188.73,189.18,1671772
2020-01-20,189.18,191.29,181.63,184.21,1609138
2020-01-21,184.21,185.06,180.89,181.92,1807401
2020-01-22,181.92,185.05,180.57,183.79,1289548
2020-01-23,183.79,184.08,181.9,182.43,489764
2020-01-24,182.43,185.24,182.34,184.92,1922908
2020-01-27,184.92,185.44,183.63,183.87,1469965
2020-01-28,183.87,184.13,182.54,183.19,1332341
2020-01-29,183.19,184.94,179.22,179.39,976583
2020-01-30,179.39,180.45,178.94,180.32,516908
2020-01-31,180.32,180.37,180.3,180.31,1195795
2020-02-03,180.31,182.53,174.13,175.28,1202769
2020-02-04,175.28,175.69,174.72,175.15,1993105
2020-02-05,175.15,176.39,174.74,176.18,1372282
2020-02-06,176.18,181.13,174.74,181.01,251517
2020-02-07,181.01,182.26,177.25,177.82,1125586
2020-02-10,177.82,180.37,177.42,179.73,1432197
2020-02-11,179.73,186.07,177.73,184.39,479429
2020-02-12,184.39,189.26,183.29,187.79,1703073
2020-02-13,187.79,195.38,184.74,193.68,499584
2020-02-14,193.68,195.6,190.21,190.48,230636
2020-02-17,190.48,190.98,187.4,187.69,799491
2020-02-18,187.69,187.71,187.27,187.42,430882
2020-02-19,187.42,190.54,187.23,189.49,211428
2020-02-20,189.49,191.6,188.77,191.15,933045
2020-02-21,191.15,191.43,189.3,189.8,412095
2020-02-24,189.8,190.51,189.68,190.36,1588657
2020-02-25,190.36,190.46,190.25,190.36,728786
2020-02-26,190.36,190.63,186.28,187.54,1343562
2020-02-27,187.54,191.62,186.45,190.29,1266915
2020-02-28,190.29,195.86,187.79,195.78,644565
2020-03-02,195.78,196.24,193.56,193.98,720317
2020-03-03,193.98,196.49,193.45,195.79,1789231
2020-03-04,195.79,196.13,194.0,194.01,1132817
2020-03-05,194.01,198.42,193.56,197.03,1948874
2020-03-06,197.03,198.93,193.36,193.5,1673661
2020-03-09,193.5,193.91,189.24,189.3,1582052
2020-03-10,189.3,193.57,188.99,192.67,1926966
2020-03-11,192.67,193.25,187.97,189.4,398446
2020-03-12,189.4,192.69,189.18,191.87,979286
2020-03-13,191.87,193.22,191.45,193.13,912279
2020-03-16,193.13,193.32,192.83,193.15,1876435
2020-03-17,193.15,199.11,192.88,197.25,1122338
2020-03-18,197.25,197.57,194.78,195.61,1300387
2020-03-19,195.61,202.23,195.46,201.05,803499
2020-03-20,201.05,207.1,199.52,205.25,1185536
2020-03-23,205.25,208.48,204.88,207.34,1886223
2020-03-24,207.34,207.35,207.22,207.29,1892897
2020-03-25,207.29,207.6,205.67,206.42,1868117
2020-03-26,206.42,210.4,205.8,210.01,772058
2020-03-27,210.01,210.36,208.53,208.73,1090529
2020-03-30,208.73,210.69,208.06,210.48,527814
2020-03-31,210.48,212.29,209.55,211.93,1321571
2020-04-01,211.93,217.09,211.73,216.79,300240
2020-04-02,216.79,217.1,215.47,215.74,1161765
2020-04-03,215.74,218.01,209.77,211.37,591620
2020-04-06,211.37,211.39,209.6,210.13,1100119
2020-04-07,210.13,211.96,209.49,211.56,212749
2020-04-08,211.56,213.44,202.22,205.36,873123
2020-04-09,205.36,208.01,204.21,207.86,895614
2020-04-10,207.86,207.97,207.84,207.95,1198637
2020-04-13,207.95,210.34,207.18,209.24,925862
2020-04-14,209.24,211.92,208.74,211.47,1538464
2020-04-15,211.47,212.46,208.64,209.19,1989146
2020-04-16,209.19,209.6,208.11,208.42,1999402
2020-04-17,208.42,211.47,208.19,210.43,1550114
2020-04-20,210.43,210.78,209.95,210.29,1084414
2020-04-21,210.29,211.02,206.97,207.5,790485
2020-04-22,207.5,207.8,207.02,207.34,1757740
2020-04-23,207.34,207.38,206.01,206.19,1100053
2020-04-24,206.19,208.94,205.71,208.27,1992009
