# SIMULATED DATA — synthetically generated for demo purposes only. Not real market data. Do not use for real trading decisions.
# symbol: FRST
# name: Frostline Apparel
date,open,high,low,close,volume
2020-01-02,76.76,76.77,76.22,76.29,1395649
2020-01-03,76.29,77.05,74.0,74.23,1680345
2020-01-06,74.23,75.21,73.98,75.03,854509
2020-01-07,75.03,76.06,74.84,75.7,1403559
2020-01-08,75.7,76.01,75.32,75.34,1321758
2020-01-09,75.34,75.75,73.43,74.1,1382054
2020-01-10,74.1,74.73,72.46,73.04,790709
2020-01-13,73.04,73.37,72.32,72.61,1758352
2020-01-14,72.61,73.13,70.79,71.36,391706
2020-01-15,71.36,71.78,67.63,68.88,1347191
2020-01-16,68.88,71.05,68.65,70.76,800623
2020-01-17,70.76,72.05,70.36,71.89,552028
2020-01-20,71.89,72.81,71.88,72.48,565199
2020-01-21,72.48,72.5,72.4,72.42,1823205
2020-01-22,72.42,72.99,71.07,71.47,1475684
2020-01-23,71.47,72.29,71.17,72.17,828847
2020-01-24,72.17,72.34,71.55,71.68,630825
2020-01-27,71.68,71.87,70.57,70.79,742371
2020-01-28,70.79,71.28,69.92,70.09,287711
2020-01-29,70.09,70.09,69.88,69.97,1327490
2020-01-30,69.97,70.39,67.95,68.54,1946537
2020-01-31,68.54,68.71,68.37,68.6,1810185
2020-02-03,68.6,69.39,68.09,69.35,202348
2020-02-04,69.35,69.44,66.73,66.88,408423
2020-02-05,66.88,67.5,66.82,67.28,1043742
2020-02-06,67.28,68.19,65.33,65.48,1250194
2020-02-07,65.48,66.42,63.27,63.62,1571304
2020-02-10,63.62,63.91,62.69,62.91,212314
2020-02-11,62.91,64.59,62.73,64.04,1639701
2020-02-12,64.04,64.07,63.05,63.11,378184
2020-02-13,63.11,63.22,63.06,63.09,1649111
2020-02-14,63.09,63.24,61.84,62.28,348301
2020-02-17,62.28,62.51,61.63,61.78,1653803
2020-02-18,61.78,62.37,61.67,62.08,969253
2020-02-19,62.08,63.88,61.57,63.27,994829
2020-02-20,63.27,63.6,63.22,63.41,380516
2020-02-21,63.41,63.45,63.26,63.27,1793450
2020-02-24,63.27,64.16,63.1,63.85,886826
2020-02-25,63.85,63.95,63.63,63.67,1885995
2020-02-26,63.67,64.66,63.48,64.37,1658521
2020-02-27,64.37,64.81,63.16,63.26,393294
2020-02-28,63.26,63.94,61.28,61.77,280117
2020-03-02,61.77,61.92,60.21,60.3,1731761
2020-03-03,60.3,60.39,60.11,60.22,837696
2020-03-04,60.22,60.28,59.59,59.8,321863
2020-03-05,59.8,59.93,59.51,59.59,676791
2020-03-06,59.59,61.34,59.34,60.69,1811121
2020-03-09,60.69,61.44,60.44,61.19,1207065
2020-03-10,61.19,65.03,60.57,63.8,1977103
2020-03-11,63.8,64.95,63.7,64.67,1668420
2020-03-12,64.67,66.86,63.85,66.41,729102
2020-03-13,66.41,66.86,66.22,66.74,438126
2020-03-16,66.74,67.12,65.64,65.84,938062
2020-03-17,65.84,66.18,65.74,66.11,878760
2020-03-18,66.11,67.4,65.8,67.16,1612292
2020-03-19,67.16,67.29,66.49,66.67,1740469
2020-03-20,66.67,67.27,66.61,67.02,1301334
2020-03-23,67.02,67.04,66.91,66.92,1056831
2020-03-24,66.92,67.65,66.4,67.59,970301
2020-03-25,67.59,70.1,66.53,69.48,1985196
2020-03-26,69.48,70.17,69.14,69.98,995496
2020-03-27,69.98,72.96,69.18,72.14,307193
2020-03-30,72.14,73.46,72.03,73.17,1066973
2020-03-31,73.17,73.21,71.59,71.99,1333789
2020-04-01,71.99,73.7,71.58,73.22,609306
2020-04-02,73.22,73.56,73.07,73.44,1584663
2020-04-03,73.44,75.81,72.77,75.08,955471
2020-04-06,75.08,75.38,74.79,75.25,939774
2020-04-07,75.25,75.68,75.04,75.48,1708789
2020-04-08,75.48,77.37,75.36,77.16,1458960
2020-04-09,77.16,77.34,76.47,76.72,347825
2020-04-10,76.72,77.04,75.55,75.72,1341365
2020-04-13,75.72,76.19,73.54,73.7,806385
2020-04-14,73.7,73.85,73.54,73.62,698835
2020-04-15,73.62,74.26,73.6,74.14,1999478
2020-04-16,74.14,76.03,73.46,75.5,1007801
2020-04-17,75.5,75.59,74.43,74.83,1044591
2020-04-20,74.83,74.98,74.71,74.93,908792
2020-04-21,74.93,75.2,74.4,74.51,1215223
2020-04-22,74.51,77.79,73.68,77.59,1116560
2020-04-23,77.59,77.74,77.5,77.53,1194198
2020-04-24,77.53,78.12,77.34,77.89,1036791
2020-04-27,77.89,79.15,77.84,78.98,1664479
2020-04-28,78.98,79.21,77.71,78.19,223228
2020-04-29,78.19,78.48,77.77,77.97,945552
2020-04-30,77.97,78.06,77.52,77.72,1141550
2020-05-01,77.72,78.29,74.75,75.76,1685152
2020-05-04,75.76,75.93,74.82,75.17,719028
2020-05-05,75.17,75.4,73.6,73.97,1416383
2020-05-06,73.97,74.62,72.4,72.69,218976
2020-05-07,72.69,73.21,72.45,73.05,1243007
2020-05-08,73.05,73.66,73.03,73.56,985701
2020-05-11,73.56,74.4,71.44,72.05,1226803
2020-05-12,72.05,74.1,71.26,73.41,1276954
2020-05-13,73.41,73.62,72.93,73.2,1947331
2020-05-14,73.2,73.33,73.13,73.14,1487850
2020-05-15,73.14,75.58,73.09,74.89,1063854
2020-05-18,74.89,74.95,74.8,74.94,876419
2020-05-19,74.94,75.13,74.93,75.11,1376984
2020-05-20,75.11,75.49,73.34,73.89,1932301
2020-05-21,73.89,74.64,73.86,74.4,1969318
2020-05-22,74.4,74.83,73.26,73.46,839402
2020-05-25,73.46,73.75,72.98,73.1,1236946
2020-05-26,73.1,73.23,72.14,72.53,1504425
2020-05-27,72.53,73.0,72.33,72.88,1203707
2020-05-28,72.88,73.21,72.28,72.29,1420288
2020-05-29,72.29,72.64,70.55,70.58,749201
2020-06-01,70.58,72.65,70.56,71.91,1387959
2020-06-02,71.91,74.78,71.03,73.77,837828
2020-06-03,73.77,73.8,73.72,73.73,1343713
2020-06-04,73.73,73.81,72.53,72.64,1053149
2020-06-05,72.64,72.8,72.13,72.32,1697275
2020-06-08,72.32,73.24,71.98,73.18,1655570
2020-06-09,73.18,73.27,72.76,72.95,228145
2020-06-10,72.95,73.2,72.86,73.18,1309663
2020-06-11,73.18,76.83,72.54,75.66,499319
2020-06-12,75.66,76.02,75.54,76.0,1181819
2020-06-15,76.0,77.83,75.62,77.56,1911161
2020-06-16,77.56,78.87,77.11,78.61,1479070
2020-06-17,78.61,78.64,77.35,77.8,1029617
2020-06-18,77.8,79.5,77.32,79.23,1356625
2020-06-19,79.23,79.81,78.81,79.6,312472
2020-06-22,79.6,79.98,78.48,78.71,1199532
2020-06-23,78.71,79.03,77.41,77.56,1619644
2020-06-24,77.56,78.97,77.35,78.87,597450
2020-06-25,78.87,79.51,77.24,77.63,1059326
2020-06-26,77.63,78.95,77.11,78.77,1112817
2020-06-29,78.77,78.8,78.24,78.37,600367
2020-06-30,78.37,80.36,77.68,79.91,1829845
2020-07-01,79.91,80.3,75.7,77.16,538496
2020-07-02,77.16,77.44,76.69,76.7,1293779
2020-07-03,76.7,77.67,76.48,77.37,1544612
2020-07-06,77.37,79.1,77.14,78.52,1052016
2020-07-07,78.52,79.09,77.5,77.61,907901
2020-07-08,77.61,77.72,76.78,76.94,1672573
2020-07-09,76.94,77.05,76.9,77.04,1235364
2020-07-10,77.04,77.37,74.8,74.86,1975964
2020-07-13,74.86,76.59,74.74,76.29,380201
2020-07-14,76.29,77.48,73.41,73.86,755269
2020-07-15,73.86,75.11,73.5,74.71,1612213
2020-07-16,74.71,74.73,74.7,74.72,1014798
2020-07-17,74.72,74.79,73.78,74.15,1184698
2020-07-20,74.15,74.31,71.52,72.44,604542
2020-07-21,72.44,73.92,71.76,73.55,1900263
2020-07-22,73.55,74.32,73.39,74.06,564609
2020-07-23,74.06,75.26,73.98,75.18,1804354
2020-07-24,75.18,75.29,73.82,74.26,1745943
2020-07-27,74.26,76.89,74.1,76.06,447645
2020-07-28,76.06,76.84,76.05,76.78,1853897
2020-07-29,76.78,77.4,74.91,74.95,1255890
2020-07-30,74.95,75.31,74.0,74.07,1481329
2020-07-31,74.07,75.78,73.37,75.11,1190911
2020-08-03,75.11,75.3,74.59,74.63,1079817
2020-08-04,74.63,74.82,73.81,74.06,465745
2020-08-05,74.06,74.4,73.26,73.32,699495
2020-08-06,73.32,73.56,72.83,72.93,367996
2020-08-07,72.93,74.19,72.83,73.73,1874206
2020-08-10,73.73,74.05,71.76,71.78,1978035
2020-08-11,71.78,72.61,68.83,69.86,496247
2020-08-12,69.86,70.02,68.28,68.77,882120
2020-08-13,68.77,69.16,67.7,68.13,1726874
2020-08-14,68.13,68.35,67.25,67.36,1087844
2020-08-17,67.36,67.68,67.29,67.56,617264
2020-08-18,67.56,68.28,67.27,68.16,1961638
2020-08-19,68.16,68.3,68.09,68.26,1762563
2020-08-20,68.26,70.42,68.04,70.0,1191265
2020-08-21,70.0,70.42,69.86,70.41,916007
2020-08-24,70.41,71.06,69.0,69.17,1979073
2020-08-25,69.17,69.44,68.38,68.54,644241
2020-08-26,68.54,69.64,68.22,69.32,1907147
