# SIMULATED DATA — synthetically generated for demo purposes only. Not real market data. Do not use for real trading decisions.
# symbol: HLIO
# name: Helios Home
date,open,high,low,close,volume
2020-01-02,129.13,136.36,128.61,134.55,857774
2020-01-03,134.55,136.2,134.3,135.48,565046
2020-01-06,135.48,137.94,135.3,137.9,1218806
2020-01-07,137.9,139.66,137.24,139.09,707529
2020-01-08,139.09,142.56,139.02,141.64,383459
2020-01-09,141.64,144.49,140.99,144.28,1448084
2020-01-10,144.28,145.15,140.64,141.08,1427474
2020-01-13,141.08,141.84,139.31,139.6,581393
2020-01-14,139.6,139.64,138.15,138.64,1516467
2020-01-15,138.64,138.71,138.15,138.36,1198666
2020-01-16,138.36,140.56,137.98,140.13,1687742
2020-01-17,140.13,146.94,139.57,144.95,269510
2020-01-20,144.95,146.71,144.7,146.47,1000316
2020-01-21,146.47,147.03,145.21,145.39,431909
2020-01-22,145.39,146.76,145.26,146.59,868967
2020-01-23,146.59,146.81,146.44,146.5,1143976
2020-01-24,146.5,147.48,146.0,147.08,771801
2020-01-27,147.08,153.09,145.11,152.04,1945164
2020-01-28,152.04,154.34,151.95,153.88,339762
2020-01-29,153.88,155.67,153.4,155.17,630546
2020-01-30,155.17,160.1,154.14,158.77,1914574
2020-01-31,158.77,161.21,158.74,161.09,1720612
2020-02-03,161.09,161.38,159.55,159.92,479762
2020-02-04,159.92,160.61,159.48,160.5,1358980
2020-02-05,160.5,160.69,159.25,159.3,1202945
2020-02-06,159.3,163.26,158.31,162.45,357819
2020-02-07,162.45,163.53,160.58,160.83,1106877
2020-02-10,160.83,162.8,160.66,162.09,1811107
2020-02-11,162.09,162.78,156.71,158.45,1527862
2020-02-12,158.45,162.5,157.11,161.15,1497586
2020-02-13,161.15,165.36,159.65,163.84,1865997
2020-02-14,163.84,168.77,163.58,167.25,904867
2020-02-17,167.25,168.24,163.91,164.73,1889419
2020-02-18,164.73,170.78,164.33,170.37,949175
2020-02-19,170.37,170.88,167.85,168.0,564050
2020-02-20,168.0,169.98,167.65,169.69,1616254
2020-02-21,169.69,172.81,169.12,172.38,1690532
2020-02-24,172.38,173.73,171.91,173.55,1871046
2020-02-25,173.55,176.89,172.7,175.75,1228736
2020-02-26,175.75,176.77,168.16,168.63,204793
2020-02-27,168.63,170.37,168.05,169.97,339215
2020-02-28,169.97,171.1,169.56,170.93,1207229
2020-03-02,170.93,171.48,170.72,171.37,1670662
2020-03-03,171.37,174.29,170.3,173.14,1109860
2020-03-04,173.14,175.55,173.1,174.71,952428
2020-03-05,174.71,180.14,174.15,178.65,1935723
2020-03-06,178.65,178.95,177.68,177.91,1179301
2020-03-09,177.91,180.85,176.4,180.66,399580
2020-03-10,180.66,185.32,180.54,185.26,648570
2020-03-11,185.26,186.46,182.56,183.15,1073542
2020-03-12,183.15,184.83,178.89,179.49,1091224
2020-03-13,179.49,185.87,177.74,183.73,1967731
2020-03-16,183.73,186.82,182.48,186.38,606328
2020-03-17,186.38,186.42,185.11,185.77,1611255
2020-03-18,185.77,185.77,185.09,185.28,702358
2020-03-19,185.28,192.84,183.13,192.74,1078551
2020-03-20,192.74,195.65,192.19,194.77,1511542
2020-03-23,194.77,195.04,194.29,194.42,657006
2020-03-24,194.42,195.21,192.86,192.99,812436
2020-03-25,192.99,193.94,192.93,193.9,1724864
2020-03-26,193.9,194.31,192.64,193.16,1162233
2020-03-27,193.16,194.68,192.48,193.9,1821765
2020-03-30,193.9,194.95,193.63,194.69,1952081
2020-03-31,194.69,195.98,192.08,193.24,1879117
2020-04-01,193.24,195.52,183.31,186.4,352399
2020-04-02,186.4,186.42,186.28,186.32,440367
2020-04-03,186.32,187.36,183.38,184.17,1422919
2020-04-06,184.17,185.51,183.65,185.02,1940121
2020-04-07,185.02,187.38,180.11,180.52,1964659
2020-04-08,180.52,183.8,180.27,182.81,1431847
2020-04-09,182.81,183.94,179.02,180.38,1509954
2020-04-10,180.38,181.15,174.28,176.27,994073
2020-04-13,176.27,177.11,176.26,177.01,1221997
2020-04-14,177.01,177.22,176.95,177.19,1678581
2020-04-15,177.19,179.67,176.27,178.88,1204672
2020-04-16,178.88,184.76,176.83,182.87,951790
2020-04-17,182.87,183.39,182.7,183.06,1042807
2020-04-20,183.06,183.74,182.87,183.55,289868
2020-04-21,183.55,184.88,179.3,180.73,597514
2020-04-22,180.73,185.59,178.83,184.2,1947394
2020-04-23,184.2,184.77,181.59,182.39,713033
2020-04-24,182.39,185.21,176.57,176.65,1111582
2020-04-27,176.65,178.59,175.81,177.95,492177
2020-04-28,177.95,178.52,175.57,176.19,580192
2020-04-29,176.19,176.73,175.87,176.53,481706
2020-04-30,176.53,177.58,171.67,173.1,451094
2020-05-01,173.1,175.99,172.35,175.36,1825340
2020-05-04,175.36,178.36,175.24,177.52,1650452
2020-05-05,177.52,177.72,175.94,176.08,488905
2020-05-06,176.08,180.58,175.14,180.14,257948
2020-05-07,180.14,180.46,179.84,179.85,1450701
2020-05-08,179.85,180.77,177.37,178.2,586855
2020-05-11,178.2,181.96,177.51,181.83,538981
2020-05-12,181.83,183.76,181.14,183.13,888109
2020-05-13,183.13,185.68,183.09,185.22,873018
2020-05-14,185.22,185.62,184.65,184.77,1961135
