# SIMULATED DATA — synthetically generated for demo purposes only. Not real market data. Do not use for real trading decisions.
# symbol: MSSA
# name: Mesa Semiconductors
date,open,high,low,close,volume
2020-01-02,149.53,164.71,146.5,159.28,1168558
2020-01-03,159.28,160.49,155.12,156.19,1978720
2020-01-06,156.19,159.72,155.52,158.44,698902
2020-01-07,158.44,162.09,157.76,160.94,535787
2020-01-08,160.94,164.59,148.72,151.34,641568
2020-01-09,151.34,152.64,147.87,148.49,343174
2020-01-10,148.49,149.41,147.96,148.83,1734753
2020-01-13,148.83,150.71,143.88,145.29,907444
2020-01-14,145.29,145.79,140.1,140.78,1021621
2020-01-15,140.78,141.61,140.32,141.5,1991414
2020-01-16,141.5,147.73,138.89,145.9,388644
2020-01-17,145.9,151.84,144.86,150.02,473675
2020-01-20,150.02,151.85,145.24,145.83,1514696
2020-01-21,145.83,148.04,140.29,141.88,856278
2020-01-22,141.88,146.29,141.74,145.21,1797011
2020-01-23,145.21,146.5,141.33,142.24,1812308
2020-01-24,142.24,148.91,140.56,146.47,356536
2020-01-27,146.47,146.76,145.83,146.16,1867678
2020-01-28,146.16,146.79,138.39,139.45,766695
2020-01-29,139.45,141.32,134.84,136.43,1448913
2020-01-30,136.43,139.78,135.07,139.62,1262716
2020-01-31,139.62,143.45,138.32,143.36,570084
2020-02-03,143.36,144.1,138.74,139.92,243823
2020-02-04,139.92,140.58,136.42,137.04,890338
2020-02-05,137.04,139.85,135.69,139.58,1385701
2020-02-06,139.58,142.88,133.12,133.29,581360
2020-02-07,133.29,134.83,129.55,130.86,454861
2020-02-10,130.86,131.47,129.78,130.17,436404
2020-02-11,130.17,130.38,129.27,129.65,510015
2020-02-12,129.65,130.92,128.91,130.7,1969539
2020-02-13,130.7,139.78,128.76,136.86,1439328
2020-02-14,136.86,138.55,136.43,137.77,1602036
2020-02-17,137.77,140.45,137.52,140.22,1555941
2020-02-18,140.22,141.27,140.09,141.01,534151
2020-02-19,141.01,141.87,140.01,140.29,1554188
2020-02-20,140.29,143.53,139.77,142.49,663282
2020-02-21,142.49,148.32,141.96,146.94,1180944
2020-02-24,146.94,151.84,146.21,150.29,899538
2020-02-25,150.29,152.8,149.52,152.17,1504062
2020-02-26,152.17,155.41,142.32,145.3,1782936
2020-02-27,145.3,150.52,143.23,149.53,1117821
2020-02-28,149.53,165.16,144.67,160.4,1463222
2020-03-02,160.4,163.38,160.0,162.68,489056
2020-03-03,162.68,163.09,160.65,161.34,1758880
2020-03-04,161.34,163.2,160.38,162.48,874146
2020-03-05,162.48,163.45,159.18,159.24,1086801
2020-03-06,159.24,163.72,157.33,163.25,591598
2020-03-09,163.25,163.81,157.04,159.22,1787925
2020-03-10,159.22,162.34,158.83,160.96,1184599
2020-03-11,160.96,163.96,152.91,154.53,1515298
2020-03-12,154.53,154.58,152.93,153.42,1808627
2020-03-13,153.42,154.87,150.6,151.65,1011671
2020-03-16,151.65,151.81,145.22,147.1,267361
2020-03-17,147.1,151.8,145.31,151.18,762276
2020-03-18,151.18,151.24,145.74,147.69,558505
2020-03-19,147.69,151.53,146.4,150.59,1522704
2020-03-20,150.59,151.51,150.42,151.35,463439
2020-03-23,151.35,157.04,149.14,155.09,746093
2020-03-24,155.09,155.34,152.59,153.35,1625375
2020-03-25,153.35,154.06,153.15,153.89,1695941
2020-03-26,153.89,154.72,150.75,151.33,1602954
2020-03-27,151.33,151.75,151.01,151.11,643757
2020-03-30,151.11,155.63,150.71,154.19,816640
2020-03-31,154.19,154.39,146.94,148.03,698419
2020-04-01,148.03,148.46,145.28,145.78,265652
2020-04-02,145.78,147.9,139.8,141.28,1263674
2020-04-03,141.28,141.31,134.23,136.66,1248846
2020-04-06,136.66,136.84,135.76,136.04,1443198
2020-04-07,136.04,136.1,135.26,135.43,417920
2020-04-08,135.43,136.63,132.74,132.82,726609
2020-04-09,132.82,133.23,131.06,131.29,1732552
2020-04-10,131.29,134.33,130.68,133.59,1870298
2020-04-13,133.59,134.32,133.53,134.09,662493
2020-04-14,134.09,140.7,131.54,139.23,735856
2020-04-15,139.23,145.11,137.49,144.34,1283219
2020-04-16,144.34,144.6,143.91,144.59,539816
2020-04-17,144.59,144.69,140.95,141.9,627706
2020-04-20,141.9,145.55,140.63,144.23,364693
2020-04-21,144.23,146.76,136.28,138.36,1977766
2020-04-22,138.36,140.25,137.63,139.74,893963
2020-04-23,139.74,142.43,138.75,141.44,1025078
2020-04-24,141.44,145.66,140.39,144.17,1315506
2020-04-27,144.17,145.78,143.64,145.42,985861
2020-04-28,145.42,145.99,143.46,143.98,1133279
2020-04-29,143.98,153.91,142.44,152.28,958298
2020-04-30,152.28,152.29,147.33,148.65,1609051
2020-05-01,148.65,151.36,147.64,150.72,1311170
2020-05-04,150.72,151.44,150.4,151.13,1706220
2020-05-05,151.13,153.63,150.58,153.1,1928169
2020-05-06,153.1,153.36,149.57,150.47,1790488
2020-05-07,150.47,151.04,146.79,146.95,1869875
2020-05-08,146.95,147.38,146.82,147.26,548985
2020-05-11,147.26,148.47,147.2,148.44,1732285
2020-05-12,148.44,150.65,148.13,150.01,535505
2020-05-13,150.01,151.74,148.91,151.27,1431882
2020-05-14,151.27,152.31,140.96,143.89,1106347
2020-05-15,143.89,144.36,142.74,142.75,992968
2020-05-18,142.75,143.07,139.76,140.1,769913
2020-05-19,140.1,140.25,136.78,137.87,1555587
2020-05-20,137.87,141.48,136.61,140.29,959407
2020-05-21,140.29,141.81,137.05,137.89,991493
2020-05-22,137.89,138.21,137.78,138.17,1332494
2020-05-25,138.17,139.05,132.93,133.99,1117041
2020-05-26,133.99,139.57,132.21,138.34,829273
2020-05-27,138.34,139.41,136.92,137.32,736446
2020-05-28,137.32,137.75,134.44,135.5,991999
2020-05-29,135.5,136.05,135.03,135.41,480889
2020-06-01,135.41,135.75,135.21,135.53,827604
2020-06-02,135.53,142.48,133.81,139.79,1439203
2020-06-03,139.79,141.51,139.73,140.69,352307
2020-06-04,140.69,143.4,134.33,136.01,1867078
2020-06-05,136.01,141.87,134.49,141.4,1488607
2020-06-08,141.4,142.82,138.85,138.98,1186288
2020-06-09,138.98,142.39,137.44,142.2,1575054
2020-06-10,142.2,142.24,140.76,141.14,556877
2020-06-11,141.14,147.71,140.68,145.65,1521246
2020-06-12,145.65,146.95,140.83,141.66,904108
2020-06-15,141.66,143.78,136.06,138.03,1373930
2020-06-16,138.03,140.81,127.57,130.95,1406836
2020-06-17,130.95,133.25,123.65,124.47,392086
2020-06-18,124.47,125.04,122.94,123.32,1398385
2020-06-19,123.32,124.83,120.8,121.14,1143857
2020-06-22,121.14,122.31,113.39,116.0,891287
2020-06-23,116.0,116.15,115.64,115.77,1399427
2020-06-24,115.77,118.85,115.28,117.96,1690358
2020-06-25,117.96,119.56,112.98,114.58,1257967
2020-06-26,114.58,114.94,114.56,114.88,906067
2020-06-29,114.88,115.33,112.64,113.22,1904639
2020-06-30,113.22,113.4,111.28,111.57,1772429
2020-07-01,111.57,112.45,110.27,110.28,456599
2020-07-02,110.28,110.45,109.2,109.67,896129
2020-07-03,109.67,109.74,109.53,109.53,1761303
2020-07-06,109.53,110.6,106.92,107.75,657231
2020-07-07,107.75,108.72,105.81,106.33,211766
2020-07-08,106.33,106.47,104.66,105.34,1017735
2020-07-09,105.34,106.81,104.71,106.69,1652698
2020-07-10,106.69,106.83,106.69,106.8,760754
2020-07-13,106.8,107.05,105.3,105.9,1902840
2020-07-14,105.9,106.67,99.9,101.85,544034
2020-07-15,101.85,102.67,99.68,100.03,965412
2020-07-16,100.03,100.61,97.2,98.02,274644
2020-07-17,98.02,98.68,96.02,96.39,1665563
2020-07-20,96.39,97.6,95.69,97.39,217592
2020-07-21,97.39,99.02,97.25,98.87,1874974
2020-07-22,98.87,99.81,96.33,97.17,1405812
2020-07-23,97.17,97.48,95.96,96.31,1204021
2020-07-24,96.31,99.86,95.09,98.75,1840263
2020-07-27,98.75,99.11,98.38,99.03,798586
2020-07-28,99.03,101.16,98.43,100.69,670768
2020-07-29,100.69,101.12,99.76,99.83,1223577
2020-07-30,99.83,100.71,99.52,100.64,1678422
2020-07-31,100.64,101.02,98.94,99.38,977496
2020-08-03,99.38,99.7,98.27,98.73,439380
2020-08-04,98.73,98.82,98.63,98.7,1756679
2020-08-05,98.7,101.62,98.08,101.19,549797
2020-08-06,101.19,101.53,100.57,100.77,755138
2020-08-07,100.77,101.12,100.06,100.33,803432
2020-08-10,100.33,103.57,100.21,103.42,1347473
2020-08-11,103.42,107.8,103.03,107.79,993895
2020-08-12,107.79,109.4,107.55,109.04,1354185
2020-08-13,109.04,111.16,108.85,110.5,1418499
2020-08-14,110.5,110.62,110.22,110.23,756822
2020-08-17,110.23,111.26,109.78,111.01,956020
2020-08-18,111.01,111.29,110.94,111.18,1233587
2020-08-19,111.18,112.13,111.14,111.97,1148056
2020-08-20,111.97,111.97,111.43,111.55,1878678
2020-08-21,111.55,111.61,111.41,111.45,1769543
2020-08-24,111.45,111.85,109.71,110.27,581516
2020-08-25,110.27,111.56,107.53,107.91,789839
2020-08-26,107.91,108.92,104.91,105.65,430845
2020-08-27,105.65,105.7,104.95,105.17,1846408
2020-08-28,105.17,105.99,103.23,103.44,707865
2020-08-31,103.44,103.49,102.81,103.04,1326854
2020-09-01,103.04,104.56,102.44,104.51,1452715
2020-09-02,104.51,106.14,101.0,101.25,1334242
2020-09-03,101.25,105.49,100.06,104.08,1113555
2020-09-04,104.08,104.2,103.6,103.89,1062714
2020-09-07,103.89,105.09,103.49,104.72,1422532
2020-09-08,104.72,105.2,103.86,103.98,1924433
2020-09-09,103.98,104.25,102.39,102.72,1544497
2020-09-10,102.72,103.3,100.75,100.85,1875646
2020-09-11,100.85,101.28,98.14,98.69,1176798
2020-09-14,98.69,105.14,98.15,103.06,1780363
2020-09-15,103.06,107.78,100.99,107.06,1065532
2020-09-16,107.06,107.7,104.73,104.85,953233
2020-09-17,104.85,105.66,104.31,105.53,1507882
2020-09-18,105.53,106.36,105.12,106.06,1947050
2020-09-21,106.06,109.48,104.16,109.41,1697870
2020-09-22,109.41,110.04,109.28,109.94,1799421
2020-09-23,109.94,112.69,109.55,111.74,665927
2020-09-24,111.74,111.84,109.97,110.0,579482
2020-09-25,110.0,115.29,108.63,113.81,1337484
2020-09-28,113.81,113.84,113.28,113.29,295595
2020-09-29,113.29,113.57,112.76,113.02,1552375
2020-09-30,113.02,113.4,112.0,112.27,319166
2020-10-01,112.27,112.6,109.39,110.33,367706
2020-10-02,110.33,114.55,109.53,113.72,550470
2020-10-05,113.72,114.66,113.71,114.52,499412
2020-10-06,114.52,114.78,114.33,114.72,571917
2020-10-07,114.72,118.08,114.41,117.84,1185809
2020-10-08,117.84,118.42,115.4,115.97,1638069
2020-10-09,115.97,116.69,113.87,114.28,641882
2020-10-12,114.28,114.29,114.26,114.28,1477192
2020-10-13,114.28,114.74,112.65,112.69,1876625
2020-10-14,112.69,113.79,111.01,111.12,861424
2020-10-15,111.12,111.27,103.66,104.47,387372
2020-10-16,104.47,104.49,102.94,103.02,1766800
2020-10-19,103.02,104.21,100.31,100.83,1112074
2020-10-20,100.83,101.11,100.57,101.08,449675
2020-10-21,101.08,104.29,99.96,103.49,859753
2020-10-22,103.49,103.51,101.17,101.3,1798441
2020-10-23,101.3,106.19,99.58,104.46,1072007
2020-10-26,104.46,105.37,104.28,105.12,1924417
2020-10-27,105.12,107.41,98.8,100.7,1049983
2020-10-28,100.7,102.05,95.4,97.17,572472
2020-10-29,97.17,97.64,96.13,96.14,1363267
2020-10-30,96.14,97.13,95.87,97.07,392725
2020-11-02,97.07,97.39,97.01,97.27,515681
2020-11-03,97.27,99.05,96.75,98.28,1878937
2020-11-04,98.28,101.25,97.66,100.24,434272
2020-11-05,100.24,100.39,98.07,98.9,1086289
2020-11-06,98.9,98.9,98.13,98.43,769395
2020-11-09,98.43,98.58,97.28,97.62,558284
2020-11-10,97.62,98.24,96.43,96.73,1712467
2020-11-11,96.73,100.64,96.5,99.44,926705
2020-11-12,99.44,99.6,97.96,98.14,1850708
2020-11-13,98.14,99.05,98.06,98.75,1660534
2020-11-16,98.75,99.97,98.3,99.86,425978
2020-11-17,99.86,99.87,99.8,99.84,1396726
2020-11-18,99.84,100.17,98.67,98.99,1081723
2020-11-19,98.99,99.47,98.0,98.36,1632985
2020-11-20,98.36,98.75,96.83,97.04,1432111
2020-11-23,97.04,97.49,97.01,97.2,283617
2020-11-24,97.2,99.98,96.67,99.84,690444
2020-11-25,99.84,106.02,98.96,105.77,999414
