# SIMULATED DATA — synthetically generated for demo purposes only. Not real market data. Do not use for real trading decisions.
# symbol: NIMX
# name: Nimbus Labs
date,open,high,low,close,volume
2020-01-02,91.81,93.51,91.56,93.14,304398
2020-01-03,93.14,95.02,92.67,94.98,325739
2020-01-06,94.98,96.53,94.76,96.41,1329379
2020-01-07,96.41,97.82,96.1,97.37,1957259
2020-01-08,97.37,100.64,97.18,100.41,755267
2020-01-09,100.41,101.55,99.96,101.42,1350044
2020-01-10,101.42,101.46,99.94,100.09,1424719
2020-01-13,100.09,101.91,99.55,101.63,1015731
2020-01-14,101.63,101.78,100.47,100.83,1145353
2020-01-15,100.83,104.88,100.34,103.65,1964314
2020-01-16,103.65,105.16,103.19,105.01,270573
2020-01-17,105.01,106.95,104.52,106.29,1775860
2020-01-20,106.29,106.68,105.06,105.36,1711942
2020-01-21,105.36,108.59,104.33,107.85,309204
2020-01-22,107.85,108.4,107.01,107.2,894424
2020-01-23,107.2,107.23,104.31,104.94,502487
2020-01-24,104.94,105.53,104.81,105.46,903709
2020-01-27,105.46,106.0,105.22,105.95,1188991
2020-01-28,105.95,108.8,105.33,108.38,845788
2020-01-29,108.38,109.65,106.13,106.33,517191
2020-01-30,106.33,106.73,106.26,106.57,207368
2020-01-31,106.57,108.2,106.11,107.9,1915576
2020-02-03,107.9,108.27,107.21,107.24,1819159
2020-02-04,107.24,108.27,104.47,105.41,906282
2020-02-05,105.41,105.44,104.84,104.87,575773
2020-02-06,104.87,105.54,104.85,105.43,200419
2020-02-07,105.43,105.99,105.08,105.98,1305324
2020-02-10,105.98,106.82,105.83,106.71,855494
2020-02-11,106.71,109.92,105.95,109.19,354592
2020-02-12,109.19,112.09,108.85,111.65,1691939
2020-02-13,111.65,112.22,111.58,111.96,1177710
2020-02-14,111.96,112.51,111.74,112.39,1753985
2020-02-17,112.39,112.44,111.78,112.03,1158666
2020-02-18,112.03,112.32,110.61,110.81,1660720
2020-02-19,110.81,116.05,109.28,114.36,608131
2020-02-20,114.36,114.47,114.12,114.13,250286
2020-02-21,114.13,114.45,113.82,113.97,1886638
2020-02-24,113.97,116.52,113.57,115.46,596832
2020-02-25,115.46,115.88,115.27,115.74,1712783
2020-02-26,115.74,117.61,115.08,117.06,352601
2020-02-27,117.06,118.06,114.34,114.98,521339
2020-02-28,114.98,115.62,110.11,111.67,1948983
2020-03-02,111.67,112.4,110.16,110.33,428669
2020-03-03,110.33,112.1,109.81,111.52,463113
2020-03-04,111.52,114.44,110.73,113.93,435770
2020-03-05,113.93,116.09,108.06,109.5,1147845
2020-03-06,109.5,112.31,109.25,111.31,653302
2020-03-09,111.31,111.42,110.38,110.64,666856
2020-03-10,110.64,110.88,109.61,109.92,1250027
2020-03-11,109.92,110.73,109.38,110.48,1102968
2020-03-12,110.48,110.92,108.28,108.47,207078
2020-03-13,108.47,108.54,107.94,108.14,1505347
2020-03-16,108.14,108.62,106.13,106.8,390996
2020-03-17,106.8,106.9,106.26,106.37,1590069
2020-03-18,106.37,107.56,103.7,104.28,1302550
2020-03-19,104.28,104.37,104.15,104.27,1014222
2020-03-20,104.27,105.11,101.45,102.5,1895925
2020-03-23,102.5,102.63,101.99,102.21,1711999
2020-03-24,102.21,102.88,102.1,102.84,331617
2020-03-25,102.84,104.03,102.32,103.57,478003
2020-03-26,103.57,103.8,102.9,103.15,595258
2020-03-27,103.15,103.73,100.16,100.87,1981768
2020-03-30,100.87,101.65,100.73,101.44,552340
2020-03-31,101.44,101.78,100.68,100.69,1197290
2020-04-01,100.69,100.82,100.39,100.5,315723
2020-04-02,100.5,101.03,100.09,100.7,388603
2020-04-03,100.7,100.82,100.66,100.74,960057
2020-04-06,100.74,101.75,100.6,101.29,468862
2020-04-07,101.29,103.33,101.22,103.22,1438770
2020-04-08,103.22,103.27,101.69,102.27,1341991
2020-04-09,102.27,102.61,101.9,102.58,1016792
2020-04-10,102.58,102.8,101.66,102.02,682147
2020-04-13,102.02,103.58,101.89,103.49,290683
2020-04-14,103.49,105.32,103.23,105.05,1567096
2020-04-15,105.05,105.14,104.65,104.66,650807
2020-04-16,104.66,107.4,104.1,106.66,541021
2020-04-17,106.66,108.26,101.97,102.82,1091002
2020-04-20,102.82,103.76,102.5,103.52,1437935
2020-04-21,103.52,105.88,102.83,105.12,928455
2020-04-22,105.12,105.13,105.02,105.04,327301
2020-04-23,105.04,105.07,104.99,105.07,1766968
2020-04-24,105.07,105.3,103.67,103.87,727505
2020-04-27,103.87,104.02,102.47,103.02,1950721
2020-04-28,103.02,103.44,102.69,103.36,757186
2020-04-29,103.36,103.47,103.28,103.4,561764
2020-04-30,103.4,103.56,103.34,103.56,361556
2020-05-01,103.56,103.6,103.22,103.26,1254049
2020-05-04,103.26,103.91,103.02,103.64,1488788
2020-05-05,103.64,105.67,103.53,104.93,1503480
2020-05-06,104.93,104.96,103.25,103.87,1805496
2020-05-07,103.87,104.03,101.47,102.08,1107867
2020-05-08,102.08,103.03,99.29,100.27,1251310
2020-05-11,100.27,102.54,100.23,102.26,439567
2020-05-12,102.26,102.35,100.1,100.8,1205349
2020-05-13,100.8,101.27,99.32,99.32,1635855
2020-05-14,99.32,99.82,97.27,97.81,1386739
2020-05-15,97.81,100.33,97.46,100.23,1512803
2020-05-18,100.23,101.85,99.61,101.38,1089107
2020-05-19,101.38,102.04,99.57,100.1,1356973
2020-05-20,100.1,101.52,99.93,101.42,1537791
2020-05-21,101.42,101.44,100.73,100.81,1409602
2020-05-22,100.81,103.71,100.45,102.87,1129764
2020-05-25,102.87,103.67,100.98,101.16,1960626
2020-05-26,101.16,101.66,100.91,101.65,1675815
2020-05-27,101.65,103.7,100.7,103.49,579275
2020-05-28,103.49,103.53,103.05,103.22,1914932
2020-05-29,103.22,106.47,102.34,105.37,616490
2020-06-01,105.37,108.51,105.33,107.77,206462
2020-06-02,107.77,107.92,105.64,105.99,768940
2020-06-03,105.99,106.18,105.7,106.18,1710399
2020-06-04,106.18,110.64,105.68,109.1,869999
2020-06-05,109.1,113.48,108.19,111.93,849276
2020-06-08,111.93,111.99,110.23,110.74,714121
2020-06-09,110.74,111.63,110.56,111.46,1119733
2020-06-10,111.46,112.82,110.88,112.2,1335612
2020-06-11,112.2,115.03,111.55,113.91,1495230
2020-06-12,113.91,118.05,112.86,116.83,715174
2020-06-15,116.83,118.36,116.76,117.86,1049931
2020-06-16,117.86,118.51,116.92,117.09,1380791
2020-06-17,117.09,118.96,116.77,118.51,501198
2020-06-18,118.51,119.66,118.34,119.29,1831266
2020-06-19,119.29,120.95,119.16,120.51,546332
2020-06-22,120.51,122.3,120.29,122.1,1225311
2020-06-23,122.1,123.84,121.74,123.18,944990
2020-06-24,123.18,123.24,121.11,121.39,1941833
2020-06-25,121.39,121.46,121.13,121.22,1753150
2020-06-26,121.22,121.78,121.08,121.65,1917098
2020-06-29,121.65,124.27,121.63,123.28,258038
2020-06-30,123.28,123.66,122.33,122.33,904737
2020-07-01,122.33,124.25,116.43,118.41,1950034
2020-07-02,118.41,118.59,118.33,118.53,1894683
2020-07-03,118.53,120.05,117.93,119.55,1023185
2020-07-06,119.55,119.66,118.68,119.14,1361910
2020-07-07,119.14,119.16,119.04,119.07,1345323
2020-07-08,119.07,119.14,118.82,118.89,898547
2020-07-09,118.89,119.17,118.11,118.11,742738
2020-07-10,118.11,120.33,112.4,113.59,622582
2020-07-13,113.59,115.49,113.09,114.81,753316
2020-07-14,114.81,117.63,114.46,117.05,1401239
2020-07-15,117.05,117.59,117.04,117.46,808492
2020-07-16,117.46,118.47,114.13,115.07,1108781
2020-07-17,115.07,117.28,114.82,116.51,1676008
2020-07-20,116.51,116.89,116.11,116.77,1092376
2020-07-21,116.77,118.36,116.44,118.19,1397529
2020-07-22,118.19,119.45,117.5,119.3,455439
2020-07-23,119.3,119.31,119.02,119.07,1816701
2020-07-24,119.07,122.96,118.55,121.48,533921
2020-07-27,121.48,122.5,119.44,119.48,1395973
2020-07-28,119.48,119.61,118.25,118.25,703651
2020-07-29,118.25,120.4,118.15,119.62,1935688
2020-07-30,119.62,120.7,119.36,120.2,288663
2020-07-31,120.2,122.47,119.19,122.05,547447
2020-08-03,122.05,122.6,118.35,119.43,1580002
2020-08-04,119.43,122.66,119.33,122.6,1856138
2020-08-05,122.6,122.73,122.47,122.57,1923841
2020-08-06,122.57,126.43,121.19,125.93,769670
2020-08-07,125.93,126.33,125.71,126.01,1897850
2020-08-10,126.01,126.34,125.94,126.3,1922199
2020-08-11,126.3,128.81,125.75,128.33,1870578
2020-08-12,128.33,128.57,127.64,127.86,1680959
2020-08-13,127.86,128.5,127.72,128.38,1608047
2020-08-14,128.38,128.65,124.69,125.71,645153
2020-08-17,125.71,126.48,125.2,126.31,1790254
2020-08-18,126.31,126.78,126.27,126.64,373560
2020-08-19,126.64,127.04,122.85,123.56,1316553
2020-08-20,123.56,123.96,123.28,123.7,1395965
2020-08-21,123.7,127.44,123.13,126.56,1528521
2020-08-24,126.56,129.72,126.2,129.36,475979
2020-08-25,129.36,131.98,128.16,131.5,1113184
2020-08-26,131.5,132.28,129.16,129.78,1983720
2020-08-27,129.78,132.91,128.55,131.78,272651
2020-08-28,131.78,133.44,131.61,133.34,1951337
2020-08-31,133.34,135.27,128.19,129.19,667906
2020-09-01,129.19,130.57,126.77,126.93,1273064
2020-09-02,126.93,127.01,125.88,126.0,658844
2020-09-03,126.0,126.44,125.02,125.15,220483
2020-09-04,125.15,125.38,123.71,123.86,1631506
2020-09-07,123.86,126.71,123.7,126.61,911534
2020-09-08,126.61,126.83,123.03,123.97,937620
2020-09-09,123.97,124.12,122.73,123.21,762251
2020-09-10,123.21,124.03,120.67,121.62,854806
2020-09-11,121.62,121.91,120.91,120.99,210577
2020-09-14,120.99,123.24,119.93,122.76,1029631
2020-09-15,122.76,122.76,121.34,121.67,1353200
2020-09-16,121.67,122.73,121.34,122.49,462596
2020-09-17,122.49,122.64,121.88,122.15,395827
2020-09-18,122.15,122.56,118.46,118.73,1897536
2020-09-21,118.73,119.29,118.7,119.04,1867102
2020-09-22,119.04,120.49,115.72,116.0,1614486
2020-09-23,116.0,119.29,114.79,118.71,1692537
2020-09-24,118.71,119.61,118.53,119.36,421502
2020-09-25,119.36,121.24,118.68,120.69,273978
2020-09-28,120.69,121.92,117.63,117.8,1279135
2020-09-29,117.8,118.27,116.46,116.69,956129
2020-09-30,116.69,117.16,114.63,115.09,242075
2020-10-01,115.09,115.41,114.08,114.23,1574417
2020-10-02,114.23,114.86,114.2,114.71,431220
2020-10-05,114.71,114.81,112.33,112.82,1118290
2020-10-06,112.82,116.38,111.79,115.41,1120667
2020-10-07,115.41,116.38,115.25,116.18,1911562
2020-10-08,116.18,119.87,114.85,118.68,548673
2020-10-09,118.68,122.52,116.92,121.62,1848874
2020-10-12,121.62,123.56,121.17,123.47,1561123
2020-10-13,123.47,128.03,123.03,126.58,1668127
2020-10-14,126.58,128.42,126.27,128.18,1110812
2020-10-15,128.18,130.24,127.97,130.19,490212
2020-10-16,130.19,133.52,128.72,133.21,407141
2020-10-19,133.21,133.71,131.79,132.08,1771313
2020-10-20,132.08,132.25,127.97,129.58,1333597
2020-10-21,129.58,130.03,128.61,128.77,1982896
2020-10-22,128.77,129.26,126.96,127.16,1538470
2020-10-23,127.16,127.5,126.27,126.38,1350628
2020-10-26,126.38,129.68,126.37,129.16,260827
2020-10-27,129.16,129.25,128.94,129.0,1122820
2020-10-28,129.0,130.37,128.99,129.99,204707
2020-10-29,129.99,130.03,129.28,129.43,603666
2020-10-30,129.43,130.19,126.58,127.16,442547
2020-11-02,127.16,127.4,125.76,125.91,372448
2020-11-03,125.91,126.54,122.97,123.39,220692
2020-11-04,123.39,124.36,119.84,120.45,1362087
2020-11-05,120.45,121.03,114.18,116.3,279203
2020-11-06,116.3,118.33,116.06,117.92,305082
2020-11-09,117.92,118.35,117.88,118.08,559132
2020-11-10,118.08,118.25,117.69,117.9,1664085
2020-11-11,117.9,118.77,117.42,118.74,1609353
2020-11-12,118.74,120.31,117.85,120.3,1541337
2020-11-13,120.3,120.68,117.14,117.32,618134
2020-11-16,117.32,118.23,117.02,118.09,1451196
2020-11-17,118.09,120.43,117.66,119.88,1619210
2020-11-18,119.88,120.25,116.59,117.49,1937253
2020-11-19,117.49,118.51,117.38,118.39,1538981
2020-11-20,118.39,124.05,117.64,122.32,1784296
2020-11-23,122.32,122.72,121.3,121.74,1397425
2020-11-24,121.74,123.62,120.84,123.12,1455712
2020-11-25,123.12,125.12,122.81,124.55,581538
2020-11-26,124.55,124.63,122.06,123.0,460270
2020-11-27,123.0,124.33,122.87,124.03,251718
2020-11-30,124.03,124.4,123.93,124.3,1454613
2020-12-01,124.3,124.44,124.09,124.35,1675213
2020-12-02,124.35,124.39,123.15,123.73,1845935
2020-12-03,123.73,124.79,123.71,124.73,1725891
2020-12-04,124.73,125.0,124.16,124.51,1336765
2020-12-07,124.51,124.58,124.39,124.41,774449
2020-12-08,124.41,125.43,124.24,125.41,708667
2020-12-09,125.41,125.68,124.98,125.12,1732479
2020-12-10,125.12,125.15,122.89,123.35,985609
2020-12-11,123.35,123.98,123.25,123.73,1752030
