# SIMULATED DATA — synthetically generated for demo purposes only. Not real market data. Do not use for real trading decisions.
# symbol: PLSR
# name: Pulsar Networks
date,open,high,low,close,volume
2020-01-02,163.75,166.43,162.81,165.59,1981676
2020-01-03,165.59,166.51,165.47,166.47,1366912
2020-01-06,166.47,170.84,165.2,169.96,263504
2020-01-07,169.96,170.34,169.78,169.79,1557227
2020-01-08,169.79,170.86,165.61,167.02,1184257
2020-01-09,167.02,170.13,166.03,168.93,1711524
2020-01-10,168.93,169.32,168.82,169.31,1632543
2020-01-13,169.31,171.69,168.41,170.61,279281
2020-01-14,170.61,170.87,170.54,170.78,520674
2020-01-15,170.78,171.47,169.76,170.07,316202
2020-01-16,170.07,172.66,169.46,172.04,1571212
2020-01-17,172.04,173.52,171.57,173.03,360831
2020-01-20,173.03,174.62,167.74,169.71,1806619
2020-01-21,169.71,170.06,165.53,165.55,1713874
2020-01-22,165.55,166.01,164.58,164.64,328644
2020-01-23,164.64,164.86,162.61,162.83,277152
2020-01-24,162.83,164.09,162.67,163.96,965911
2020-01-27,163.96,164.39,161.92,162.33,1276907
2020-01-28,162.33,162.72,160.03,160.93,1833964
2020-01-29,160.93,161.63,159.72,159.96,1732343
2020-01-30,159.96,160.05,159.58,159.85,1422552
2020-01-31,159.85,164.3,158.44,163.29,1806390
2020-02-03,163.29,165.03,162.84,164.8,809711
2020-02-04,164.8,165.59,163.03,163.44,666745
2020-02-05,163.44,164.46,161.54,161.66,1402646
2020-02-06,161.66,162.25,161.52,161.98,1728892
2020-02-07,161.98,163.34,161.35,162.94,992279
2020-02-10,162.94,163.72,162.69,163.3,1885496
2020-02-11,163.3,163.7,162.08,162.29,1903103
2020-02-12,162.29,162.67,155.92,157.5,1218881
2020-02-13,157.5,157.57,156.13,156.49,356906
2020-02-14,156.49,156.55,156.23,156.46,752937
2020-02-17,156.46,157.35,154.15,154.77,200232
2020-02-18,154.77,155.43,153.68,154.25,859453
2020-02-19,154.25,155.86,153.9,155.36,1234460
2020-02-20,155.36,159.94,155.23,158.69,785736
2020-02-21,158.69,161.43,158.63,160.39,1681362
2020-02-24,160.39,160.79,157.73,158.13,329606
2020-02-25,158.13,158.65,157.55,158.58,1348153
2020-02-26,158.58,158.63,157.87,158.13,1679509
2020-02-27,158.13,158.39,158.07,158.1,402748
2020-02-28,158.1,161.65,157.81,161.3,1032725
2020-03-02,161.3,161.32,160.99,161.18,430566
2020-03-03,161.18,163.94,160.16,163.86,493186
2020-03-04,163.86,164.38,161.97,162.6,1803654
2020-03-05,162.6,162.62,162.18,162.18,872419
2020-03-06,162.18,165.23,161.41,165.19,668092
2020-03-09,165.19,165.41,164.42,164.69,1769685
2020-03-10,164.69,165.42,163.14,163.36,726275
2020-03-11,163.36,163.61,163.18,163.56,659794
2020-03-12,163.56,163.68,162.77,162.93,417812
2020-03-13,162.93,162.96,162.69,162.81,598171
2020-03-16,162.81,162.91,159.83,160.61,990032
2020-03-17,160.61,161.45,155.43,156.76,226669
2020-03-18,156.76,158.22,156.74,157.87,467906
2020-03-19,157.87,158.89,157.36,158.5,1508625
2020-03-20,158.5,161.76,157.6,161.51,905045
2020-03-23,161.51,162.04,160.16,160.33,1249265
2020-03-24,160.33,163.44,159.79,162.5,403816
2020-03-25,162.5,163.32,162.13,163.16,1470019
2020-03-26,163.16,163.31,158.52,160.05,1339685
2020-03-27,160.05,160.08,159.78,159.9,517586
2020-03-30,159.9,160.48,156.28,156.81,1813525
2020-03-31,156.81,157.86,156.16,157.29,1079461
2020-04-01,157.29,158.74,147.01,147.93,1760259
2020-04-02,147.93,150.81,147.91,150.62,1235085
2020-04-03,150.62,152.92,150.14,152.56,1563279
2020-04-06,152.56,152.61,149.85,150.34,1711986
2020-04-07,150.34,150.52,150.22,150.5,889949
2020-04-08,150.5,151.54,146.36,147.09,296024
2020-04-09,147.09,147.3,144.67,145.22,797353
2020-04-10,145.22,145.53,142.18,142.47,1137096
2020-04-13,142.47,145.09,141.36,144.92,711829
2020-04-14,144.92,149.71,144.88,148.46,487397
2020-04-15,148.46,148.64,146.2,146.59,439685
2020-04-16,146.59,147.89,142.37,142.77,1794237
2020-04-17,142.77,148.42,142.67,147.53,501595
2020-04-20,147.53,148.21,147.45,147.87,1915936
2020-04-21,147.87,149.62,141.86,142.51,1112104
2020-04-22,142.51,142.54,142.15,142.39,1374762
2020-04-23,142.39,142.86,140.31,140.74,480797
2020-04-24,140.74,141.31,138.02,138.51,1689309
2020-04-27,138.51,138.63,138.21,138.24,1742976
2020-04-28,138.24,138.68,137.14,137.2,1415746
2020-04-29,137.2,137.46,137.15,137.42,1774200
2020-04-30,137.42,138.68,132.16,133.51,648497
2020-05-01,133.51,133.73,133.43,133.65,1635559
2020-05-04,133.65,134.13,133.26,133.32,859951
2020-05-05,133.32,133.93,132.37,132.43,1373570
2020-05-06,132.43,132.46,131.99,132.27,1560918
2020-05-07,132.27,132.64,129.93,130.87,670383
2020-05-08,130.87,131.62,130.86,131.32,1176450
2020-05-11,131.32,131.7,129.0,129.83,716670
2020-05-12,129.83,130.58,129.54,130.35,799422
2020-05-13,130.35,134.87,129.94,133.5,1078052
2020-05-14,133.5,133.78,133.44,133.72,1579153
2020-05-15,133.72,137.57,132.38,137.39,282355
2020-05-18,137.39,141.69,135.74,140.56,1481832
2020-05-19,140.56,141.16,137.11,137.8,842252
2020-05-20,137.8,138.19,137.69,137.91,1249037
2020-05-21,137.91,141.15,136.98,140.87,842336
2020-05-22,140.87,143.01,140.61,142.75,453843
2020-05-25,142.75,144.33,138.98,139.52,1836562
2020-05-26,139.52,140.05,139.32,139.86,1542971
