# SIMULATED DATA — synthetically generated for demo purposes only. Not real market data. Do not use for real trading decisions.
# symbol: QNTM
# name: Quantia Robotics
date,open,high,low,close,volume
2020-01-02,128.17,129.31,127.67,128.97,1146639
2020-01-03,128.97,131.6,128.31,131.11,1535449
2020-01-06,131.11,132.2,130.96,132.1,1354699
2020-01-07,132.1,132.75,129.72,130.48,1924976
2020-01-08,130.48,131.38,127.74,128.23,721036
2020-01-09,128.23,128.42,124.68,124.78,366223
2020-01-10,124.78,127.24,123.99,126.41,939244
2020-01-13,126.41,127.48,117.42,119.7,1098545
2020-01-14,119.7,120.9,115.68,116.4,1863978
2020-01-15,116.4,116.49,116.11,116.43,1080708
2020-01-16,116.43,120.93,115.24,119.61,1830903
2020-01-17,119.61,120.15,118.41,118.84,860546
2020-01-20,118.84,122.11,117.84,121.34,1385884
2020-01-21,121.34,122.22,120.97,121.92,1583436
2020-01-22,121.92,123.08,121.82,122.74,585069
2020-01-23,122.74,123.64,120.76,120.8,576083
2020-01-24,120.8,120.93,116.08,117.52,1806233
2020-01-27,117.52,117.64,116.89,117.27,1478043
2020-01-28,117.27,117.82,114.51,115.16,477334
2020-01-29,115.16,116.78,114.82,116.39,1136794
2020-01-30,116.39,119.14,116.08,118.48,1238330
2020-01-31,118.48,121.79,118.42,121.62,1589596
2020-02-03,121.62,121.97,121.35,121.97,1312353
2020-02-04,121.97,125.66,120.57,125.42,1394950
2020-02-05,125.42,128.9,123.55,128.54,681247
2020-02-06,128.54,128.82,127.78,127.88,1123760
2020-02-07,127.88,130.07,127.85,129.31,683153
2020-02-10,129.31,129.32,128.83,128.85,1547038
2020-02-11,128.85,133.28,128.85,132.56,686294
2020-02-12,132.56,135.61,132.32,134.68,1182444
2020-02-13,134.68,138.17,133.28,137.14,309649
2020-02-14,137.14,138.29,126.9,130.33,782508
2020-02-17,130.33,130.71,130.32,130.65,530852
2020-02-18,130.65,131.84,127.69,128.12,934561
2020-02-19,128.12,130.88,126.8,129.91,996563
2020-02-20,129.91,131.14,126.87,127.01,1429671
2020-02-21,127.01,127.92,126.61,127.5,1051488
2020-02-24,127.5,128.07,120.16,122.55,836958
2020-02-25,122.55,123.18,122.29,123.08,1942976
2020-02-26,123.08,126.31,122.36,125.07,255692
2020-02-27,125.07,125.9,124.18,124.18,1326075
2020-02-28,124.18,125.25,116.32,118.39,709352
2020-03-02,118.39,122.27,117.7,120.91,502584
2020-03-03,120.91,124.66,119.9,123.18,1830688
2020-03-04,123.18,123.82,123.16,123.45,716508
2020-03-05,123.45,128.78,122.38,127.71,445567
2020-03-06,127.71,131.91,116.72,119.28,1692918
2020-03-09,119.28,119.33,117.62,117.79,1000901
2020-03-10,117.79,118.09,115.52,116.2,1174441
2020-03-11,116.2,119.17,115.32,118.37,472616
2020-03-12,118.37,118.87,115.7,115.95,1524924
2020-03-13,115.95,117.67,111.32,112.19,216836
2020-03-16,112.19,117.55,112.03,116.23,1882197
2020-03-17,116.23,116.71,115.85,116.59,1185428
2020-03-18,116.59,116.83,115.42,115.61,1157425
2020-03-19,115.61,116.02,114.82,115.05,1319398
2020-03-20,115.05,118.51,114.4,117.55,1629445
2020-03-23,117.55,121.57,115.94,120.25,1080774
2020-03-24,120.25,120.72,116.09,116.68,742454
2020-03-25,116.68,123.79,114.63,123.09,851342
2020-03-26,123.09,125.63,121.61,125.34,1935463
2020-03-27,125.34,127.61,124.37,127.2,1001669
2020-03-30,127.2,127.68,125.67,126.28,1207065
2020-03-31,126.28,127.29,117.01,119.7,1844625
2020-04-01,119.7,125.24,118.44,125.14,688011
2020-04-02,125.14,125.39,123.21,123.63,1994209
2020-04-03,123.63,126.11,122.65,125.25,926465
2020-04-06,125.25,129.43,124.36,128.3,1595082
2020-04-07,128.3,129.9,127.98,129.41,453024
2020-04-08,129.41,130.88,129.3,130.68,1364610
2020-04-09,130.68,133.02,130.53,132.68,593073
2020-04-10,132.68,133.88,131.99,133.88,1286292
2020-04-13,133.88,135.82,129.35,130.68,1340855
2020-04-14,130.68,132.59,130.27,131.74,1806237
