# SIMULATED DATA — synthetically generated for demo purposes only. Not real market data. Do not use for real trading decisions.
# symbol: TNDR
# name: Tundra Energy
date,open,high,low,close,volume
2020-01-02,117.01,117.13,116.21,116.32,1575498
2020-01-03,116.32,116.33,115.33,115.53,1059882
2020-01-06,115.53,117.64,115.28,117.08,1515691
2020-01-07,117.08,117.15,114.39,115.38,1347346
2020-01-08,115.38,115.41,115.25,115.38,703550
2020-01-09,115.38,116.35,115.14,116.25,723415
2020-01-10,116.25,118.9,115.46,118.87,277576
2020-01-13,118.87,120.38,118.61,120.03,1153516
2020-01-14,120.03,120.23,116.4,116.86,1433116
2020-01-15,116.86,119.49,116.23,118.97,1809800
2020-01-16,118.97,119.09,118.02,118.3,595681
2020-01-17,118.3,118.31,114.75,115.69,1360471
2020-01-20,115.69,116.41,112.87,113.84,468807
2020-01-21,113.84,117.49,112.51,116.49,853489
2020-01-22,116.49,117.55,112.29,113.17,1535909
2020-01-23,113.17,113.65,111.53,111.95,1656923
2020-01-24,111.95,114.06,111.46,113.39,1400188
2020-01-27,113.39,113.94,111.66,112.23,1020464
2020-01-28,112.23,112.8,112.14,112.69,1460196
2020-01-29,112.69,113.09,112.44,113.04,1858128
2020-01-30,113.04,115.42,112.67,114.56,415860
2020-01-31,114.56,115.27,114.46,115.0,1451641
2020-02-03,115.0,115.65,114.67,115.33,1236685
2020-02-04,115.33,115.69,114.46,114.72,1884821
2020-02-05,114.72,116.74,114.17,116.36,1537082
2020-02-06,116.36,117.62,113.27,113.81,1964765
2020-02-07,113.81,115.83,112.75,115.63,343373
2020-02-10,115.63,115.8,115.27,115.45,840661
2020-02-11,115.45,115.74,114.91,115.05,1463791
2020-02-12,115.05,115.53,113.29,114.05,544793
2020-02-13,114.05,115.36,113.55,114.88,1517879
2020-02-14,114.88,115.87,111.32,112.41,1732020
2020-02-17,112.41,113.86,111.6,113.49,359671
2020-02-18,113.49,114.22,111.51,111.99,722597
2020-02-19,111.99,113.83,104.97,107.38,462768
2020-02-20,107.38,107.87,107.19,107.76,466398
2020-02-21,107.76,108.22,107.12,107.27,817546
2020-02-24,107.27,108.15,104.25,104.56,410889
2020-02-25,104.56,106.03,104.15,105.88,420712
2020-02-26,105.88,106.32,103.42,103.9,569500
2020-02-27,103.9,108.2,103.45,106.95,533635
2020-02-28,106.95,109.47,106.9,108.88,1713657
2020-03-02,108.88,108.92,107.13,107.7,377231
2020-03-03,107.7,108.08,107.53,108.07,521395
2020-03-04,108.07,109.16,103.79,104.18,1080954
